p	q	r	Mag Yaw
0.00	0.00	-0.00	53.43
0.00	0.00	-0.00	54.02
0.00	0.00	-0.00	54.41
0.00	0.00	-0.00	54.67
0.00	-0.00	-0.00	54.84
0.00	-0.00	-0.00	54.94
0.00	-0.00	-0.00	55.01
0.00	-0.00	-0.00	55.06
-0.00	-0.00	-0.00	55.09
-0.00	0.00	-0.00	55.11
-0.00	0.00	-0.00	55.12
-0.00	0.00	-0.00	55.13
-0.00	0.00	-0.00	55.14
-0.00	0.00	-0.00	55.14
-0.00	-0.00	0.00	55.14
-0.00	-0.00	0.00	55.14
0.00	-0.00	0.00	55.14
0.00	-0.00	0.00	55.14
0.00	-0.00	0.00	55.15
0.00	-0.00	0.00	55.15
0.00	-0.00	0.00	55.15
0.00	-0.00	0.00	55.15
0.00	-0.00	0.00	55.15
0.00	-0.00	0.00	55.15
0.00	-0.00	0.00	55.15
0.00	-0.00	0.00	55.15
-0.00	-0.00	0.00	55.15
-0.00	-0.00	0.00	55.15
-0.00	-0.00	0.00	55.15
-0.00	-0.00	0.00	55.15
-0.00	-0.00	0.00	54.80
-0.00	-0.00	-0.00	54.57
-0.00	-0.00	-0.00	54.43
-0.00	0.00	-0.00	54.34
-0.00	0.00	-0.00	54.28
-0.00	0.00	-0.00	54.24
-0.00	-0.00	-0.00	54.22
-0.00	-0.00	-0.00	54.20
-0.00	-0.00	-0.00	54.19
-0.00	-0.00	-0.00	54.19
-0.00	-0.00	-0.00	54.18
-0.00	-0.00	-0.00	54.18
0.00	-0.00	-0.00	54.18
0.00	-0.00	0.00	54.18
0.00	-0.00	0.00	54.18
0.00	-0.00	0.00	54.18
0.00	-0.00	0.00	54.18
0.00	0.00	0.00	54.17
-0.00	0.00	0.00	54.17
-0.00	0.00	0.00	54.17
-0.00	0.00	0.00	54.17
-0.00	-0.00	-0.00	54.17
-0.00	-0.00	-0.00	54.17
-0.00	-0.00	-0.00	54.17
-0.00	-0.00	-0.00	54.17
-0.00	-0.00	-0.00	54.17
-0.00	-0.00	-0.00	54.17
-0.00	-0.00	0.00	54.17
-0.00	-0.00	0.00	54.17
-0.00	-0.00	0.00	54.17
-0.00	-0.00	0.00	54.17
-0.00	-0.00	0.00	54.17
-0.00	0.00	-0.00	51.29
-0.00	0.00	-0.00	49.52
-0.00	0.00	-0.00	48.41
-0.00	0.00	-0.00	47.71
-0.00	0.00	-0.00	47.26
-0.00	0.00	-0.00	46.97
-0.00	-0.00	-0.00	46.79
-0.00	-0.00	-0.00	46.67
-0.00	-0.00	-0.00	46.59
-0.00	-0.00	-0.00	46.54
-0.00	-0.00	-0.00	46.51
-0.00	-0.00	-0.00	46.48
-0.00	-0.00	-0.00	46.47
-0.00	-0.00	-0.00	46.46
-0.00	-0.00	-0.00	46.46
-0.00	-0.00	-0.00	46.45
-0.00	-0.00	-0.00	46.45
-0.00	-0.00	-0.00	46.45
-0.00	-0.00	-0.00	46.45
-0.00	-0.00	-0.00	46.45
-0.00	-0.00	-0.00	46.45
-0.00	-0.00	-0.00	46.45
-0.00	-0.00	-0.00	46.45
-0.00	-0.00	-0.00	46.45
-0.00	-0.00	-0.00	46.45
-0.00	-0.00	-0.00	46.45
-0.00	-0.00	0.00	46.45
-0.00	-0.00	0.00	46.45
-0.00	-0.00	0.00	46.45
-0.00	-0.00	0.00	46.45
